P20536	4OD8
Q06496	AF-Q06496-F1
O34450	2VHL
Q49QW1	AF-Q49QW1-F1
Q9LH89	AF-Q9LH89-F1
P47013	AF-P47013-F1
Q61772	AF-Q61772-F1
Q5B0F5	AF-Q5B0F5-F1
P61328	1Q1U
Q9I8K8	AF-Q9I8K8-F1
Q64294	AF-Q64294-F1
P40310	AF-P40310-F1
Q8L7U7	AF-Q8L7U7-F1
Q9HT84	AF-Q9HT84-F1
P15520	AF-P15520-F1
G8GJ96	AF-G8GJ96-F1
A0A2H5DV25	AF-A0A2H5DV25-F1
Q96WN6	AF-Q96WN6-F1
Q8MQJ9	1Q7F
A6NMX2	AF-A6NMX2-F1
Q28851	6ZBB
P17678	1GAT
Q12701	AF-Q12701-F1
Q63912	AF-Q63912-F1
P22608	AF-P22608-F1
Q9LQV2	AF-Q9LQV2-F1
P92974	AF-P92974-F1
O36028	AF-O36028-F1
Q4V9Z5	AF-Q4V9Z5-F1
O59707	AF-O59707-F1
Q9BZM4	1KCG
O35595	AF-O35595-F1
Q15345	AF-Q15345-F1
Q9LV17	AF-Q9LV17-F1
P82673	3J9M
P22858	AF-P22858-F1
P69849	AF-P69849-F1
P35731	4FD3
Q4VCM1	AF-Q4VCM1-F1
P06886	1AW7
P03246	UnFound
P86798	AF-P86798-F1
Q12425	AF-Q12425-F1
Q9Z331	AF-Q9Z331-F1
Q7TN50	AF-Q7TN50-F1
Q6FTJ2	AF-Q6FTJ2-F1
P9WIJ3	3E3U
Q9HAC8	AF-Q9HAC8-F1
P63284	1JBK
P62834	1C1Y
P13800	AF-P13800-F1
Q9BUF5	AF-Q9BUF5-F1
P62715	AF-P62715-F1
Q59X26	AF-Q59X26-F1
C0HL59	AF-C0HL59-F1
P46152	AF-P46152-F1
O65683	AF-O65683-F1
A0A3G1QTS7	AF-A0A3G1QTS7-F1
O13329	AF-O13329-F1
O00410	6XTE
P21175	AF-P21175-F1
O14907	2KG2
Q09587	AF-Q09587-F1
Q8BGJ9	AF-Q8BGJ9-F1
Q13011	2VRE
Q9W2U4	AF-Q9W2U4-F1
Q9WTV0	AF-Q9WTV0-F1
P0A996	AF-P0A996-F1
P47134	AF-P47134-F1
Q04592	AF-Q04592-F1
P31269	AF-P31269-F1
Q9SFG0	AF-Q9SFG0-F1
P07633	AF-P07633-F1
P38704	AF-P38704-F1
Q38913	AF-Q38913-F1
P38170	5OQN
Q9SKC1	AF-Q9SKC1-F1
O43805	AF-O43805-F1
P16949	AF-P16949-F1
Q9LIR8	AF-Q9LIR8-F1
P55266	AF-P55266-F1
Q20024	AF-Q20024-F1
P10230	UnFound
P25295	AF-P25295-F1
P53665	7A23
Q14061	2L0Y
Q922E6	AF-Q922E6-F1
Q1ECW2	AF-Q1ECW2-F1
O94394	AF-O94394-F1
Q02772	AF-Q02772-F1
Q8TDV5	7WCM
P21147	AF-P21147-F1
Q8VYY4	AF-Q8VYY4-F1
Q9NZC7	1WMV
Q9URY0	8ESQ
P03612	1AQ3
P53759	AF-P53759-F1
P03583	UnFound
E9AD19	AF-E9AD19-F1
P76352	AF-P76352-F1
Q8NG27	2L0B
P0C482	AF-P0C482-F1
P0AAQ0	AF-P0AAQ0-F1
Q9LFH9	AF-Q9LFH9-F1
G8JZS4	2D73
Q9WVC8	5DOW
Q9ZPY0	AF-Q9ZPY0-F1
Q80V85	AF-Q80V85-F1
Q9C6X2	AF-Q9C6X2-F1
Q95TN4	AF-Q95TN4-F1
Q8BVC1	AF-Q8BVC1-F1
O35227	AF-O35227-F1
P38884	8EW8
P52944	AF-P52944-F1
Q9DG81	AF-Q9DG81-F1
O81283	AF-O81283-F1
D3ZFJ3	AF-D3ZFJ3-F1
Q9NS15	AF-Q9NS15-F1
Q5VYY2	AF-Q5VYY2-F1
Q8VI75	AF-Q8VI75-F1
A0A0C4DH25	AF-A0A0C4DH25-F1
Q2V2P5	AF-Q2V2P5-F1
P9WQ43	AF-P9WQ43-F1
P73406	AF-P73406-F1
Q09756	AF-Q09756-F1
Q4VC33	AF-Q4VC33-F1
P0ABC9	AF-P0ABC9-F1
O09130	3A4R
B9DGI8	AF-B9DGI8-F1
Q86YI8	3O70
G3UWD5	AF-G3UWD5-F1
O60437	4Q28
A0A1E1FFN7	AF-A0A1E1FFN7-F1
T1RRJ6	AF-T1RRJ6-F1
Q9R0A0	AF-Q9R0A0-F1
P26368	1JMT
O50411	AF-O50411-F1
P48815	AF-P48815-F1
Q13536	AF-Q13536-F1
O70302	AF-O70302-F1
Q8RWW7	AF-Q8RWW7-F1
Q91YT0	6G2J
Q55AN8	AF-Q55AN8-F1
Q9VML1	AF-Q9VML1-F1
Q8TD55	AF-Q8TD55-F1
Q5AZ32	AF-Q5AZ32-F1
Q9LEZ9	AF-Q9LEZ9-F1
P11490	AF-P11490-F1
Q5EAQ1	2I2O
P00880	1RBL
O51900	AF-O51900-F1
P47810	AF-P47810-F1
P00337	5K0Z
Q9FIU5	AF-Q9FIU5-F1
P54680	AF-P54680-F1
P86135	UnFound
P91124	AF-P91124-F1
Q8ZRS8	AF-Q8ZRS8-F1
Q9HZA6	4MAL
Q9LEH3	AF-Q9LEH3-F1
Q9HTH5	AF-Q9HTH5-F1
O14558	4JUS
P47862	AF-P47862-F1
Q9ZW24	AF-Q9ZW24-F1
Q8TEX9	5XAH
O88496	AF-O88496-F1
Q9C7S6	AF-Q9C7S6-F1
Q9LK22	6HD0
Q9VLL3	AF-Q9VLL3-F1
Q07817	1BXL
Q8BHA1	AF-Q8BHA1-F1
O74178	AF-O74178-F1
Q19Q52	AF-Q19Q52-F1
A0A0R4INB9	AF-A0A0R4INB9-F1
P61213	AF-P61213-F1
Q10CE4	AF-Q10CE4-F1
Q5AUY3	AF-Q5AUY3-F1
P49418	1KY7
Q9FMA3	AF-Q9FMA3-F1
P97360	2LF7
Q925H1	AF-Q925H1-F1
P08697	AF-P08697-F1
P0DI07	AF-P0DI07-F1
Q9M2C9	AF-Q9M2C9-F1
Q940J1	AF-Q940J1-F1
Q921I9	AF-Q921I9-F1
P32335	AF-P32335-F1
A7RDN6	AF-A7RDN6-F1
Q09925	AF-Q09925-F1
P56261	AF-P56261-F1
O13671	AF-O13671-F1
Q9F646	AF-Q9F646-F1
P9WMK3	AF-P9WMK3-F1
Q8WVE0	AF-Q8WVE0-F1
Q2W8R5	AF-Q2W8R5-F1
Q9LK31	AF-Q9LK31-F1
E9PYI1	5V3J
Q5EB77	AF-Q5EB77-F1
Q8JG69	AF-Q8JG69-F1
Q99N94	AF-Q99N94-F1
P0DW27	UnFound
Q93K97	1G0S
Q08634	AF-Q08634-F1
Q8LFW5	AF-Q8LFW5-F1
Q9U213	AF-Q9U213-F1
A7Y7W3	AF-A7Y7W3-F1
Q9Z2C6	AF-Q9Z2C6-F1
P11250	AF-P11250-F1
Q719I0	AF-Q719I0-F1
Q6P5Z2	AF-Q6P5Z2-F1
Q21361	AF-Q21361-F1
Q63610	AF-Q63610-F1
O56129	UnFound
Q9SJH0	AF-Q9SJH0-F1
O54950	AF-O54950-F1
Q9NJP9	AF-Q9NJP9-F1
Q13113	7VSI
Q95XG8	AF-Q95XG8-F1
Q6R891	AF-Q6R891-F1
Q9I969	AF-Q9I969-F1
P33199	AF-P33199-F1
P84461	UnFound
Q9FZB8	AF-Q9FZB8-F1
Q8BIH0	AF-Q8BIH0-F1
Q6V595	AF-Q6V595-F1
P9WIZ7	AF-P9WIZ7-F1
P0AE98	5M1U
Q6TY21	2JWN
O60064	AF-O60064-F1
O54904	AF-O54904-F1
U3JA75	AF-U3JA75-F1
P76278	AF-P76278-F1
O60269	AF-O60269-F1
Q99MS4	AF-Q99MS4-F1
P38072	AF-P38072-F1
Q56WH4	7VMF
Q06738	AF-Q06738-F1
P10809	4PJ1
P09525	2ZOC
Q8TE85	AF-Q8TE85-F1
Q9D3F7	AF-Q9D3F7-F1
Q60770	3PUK
O14030	AF-O14030-F1
Q9FIH5	AF-Q9FIH5-F1
P78563	1ZY7
Q02739	AF-Q02739-F1
P32265	AF-P32265-F1
Q9FI37	AF-Q9FI37-F1
Q45GQ7	AF-Q45GQ7-F1
Q9H2H9	AF-Q9H2H9-F1
Q77DJ5	2I8B
O74775	AF-O74775-F1
P43322	AF-P43322-F1
Q9WVS9	AF-Q9WVS9-F1
Q9S7I3	AF-Q9S7I3-F1
Q9BXS0	AF-Q9BXS0-F1
Q6P0G6	AF-Q6P0G6-F1
Q9SQH6	AF-Q9SQH6-F1
O94419	AF-O94419-F1
Q9LZS3	AF-Q9LZS3-F1
Q6IUF9	7VGQ
Q14526	AF-Q14526-F1
Q6P1N9	2XIO
P77214	1ZEQ
O42885	AF-O42885-F1
P23708	AF-P23708-F1
Q59RH5	AF-Q59RH5-F1
Q9VKY1	AF-Q9VKY1-F1
Q704Y3	AF-Q704Y3-F1
P27548	AF-P27548-F1
O75386	8FH3
P13849	6QVK
Q54Z54	AF-Q54Z54-F1
Q9NVD7	2K2R
Q22067	AF-Q22067-F1
P01241	1A22
P61825	2GSY
Q8NDG6	AF-Q8NDG6-F1
Q9U9Q4	AF-Q9U9Q4-F1
Q88YH3	AF-Q88YH3-F1
P36369	AF-P36369-F1
F4KDA5	AF-F4KDA5-F1
O13286	AF-O13286-F1
P9WID1	AF-P9WID1-F1
P9WIJ1	2A2J
P41241	1JEG
P42695	AF-P42695-F1
Q9Y7T7	AF-Q9Y7T7-F1
Q9YHY9	AF-Q9YHY9-F1
O75487	AF-O75487-F1
P0A8S9	1G8E
P26321	3J6X
Q9SUA6	AF-Q9SUA6-F1
P15848	1FSU
Q8CHD8	AF-Q8CHD8-F1
Q6FRE5	AF-Q6FRE5-F1
Q96M34	AF-Q96M34-F1
Q2TB54	AF-Q2TB54-F1
P53708	AF-P53708-F1
Q9UJ78	2DAS
Q03525	AF-Q03525-F1
Q09137	AF-Q09137-F1
P19204	AF-P19204-F1
Q9SY55	AF-Q9SY55-F1
O80605	AF-O80605-F1
P11712	1OG2
A0A060KY90	AF-A0A060KY90-F1
Q21446	AF-Q21446-F1
Q9CWV6	AF-Q9CWV6-F1
F5HEA3	UnFound
Q8NB59	AF-Q8NB59-F1
P56384	AF-P56384-F1
Q8VXZ7	AF-Q8VXZ7-F1
Q9UT50	AF-Q9UT50-F1
A2T3R5	UnFound
Q9M2U3	AF-Q9M2U3-F1
Q9M3B3	AF-Q9M3B3-F1
O13881	5IKJ
Q9Y5P4	2E3M
Q8N8Y5	AF-Q8N8Y5-F1
B3NV41	AF-B3NV41-F1
O35921	AF-O35921-F1
Q9H6R6	AF-Q9H6R6-F1
Q09678	AF-Q09678-F1
Q7M3I4	AF-Q7M3I4-F1
Q99JB3	AF-Q99JB3-F1
D4P3R7	7N6G
P03274	1AVP
Q6URW6	AF-Q6URW6-F1
Q9DCW2	AF-Q9DCW2-F1
P10173	AF-P10173-F1
P0CX99	AF-P0CX99-F1
Q8C4G9	AF-Q8C4G9-F1
P50171	AF-P50171-F1
O53182	AF-O53182-F1
P07001	1X13
B3VA59	AF-B3VA59-F1
P26660	1YUY
F4IIU4	AF-F4IIU4-F1
Q09063	AF-Q09063-F1
Q61711	AF-Q61711-F1
Q8BG73	AF-Q8BG73-F1
O88984	AF-O88984-F1
O70433	AF-O70433-F1
Q61024	AF-Q61024-F1
Q93VM9	AF-Q93VM9-F1
O94314	AF-O94314-F1
A0A2K9RFZ9	AF-A0A2K9RFZ9-F1
P00786	AF-P00786-F1
Q9H6B4	AF-Q9H6B4-F1
Q9SZI2	AF-Q9SZI2-F1
Q6UPR8	AF-Q6UPR8-F1
P23640	AF-P23640-F1
O94585	AF-O94585-F1
Q8WWI1	2EAQ
O59868	AF-O59868-F1
Q99N14	AF-Q99N14-F1
Q6NTS2	AF-Q6NTS2-F1
Q8C0M8	AF-Q8C0M8-F1
P70120	AF-P70120-F1
Q9FGQ2	5XPD
Q9NQT5	2NN6
Q55EI0	AF-Q55EI0-F1
Q59KJ7	AF-Q59KJ7-F1
I6WZG6	7PHM
C0HKD8	AF-C0HKD8-F1
O60403	AF-O60403-F1
O22703	AF-O22703-F1
P26369	2M52
Q86UL8	1UEP
Q38FI2	AF-Q38FI2-F1
Q9VLU4	AF-Q9VLU4-F1
P77348	3O9P
P40231	AF-P40231-F1
Q75JD4	AF-Q75JD4-F1
Q9FFX4	AF-Q9FFX4-F1
Q9ERB4	UnFound
Q9SL04	AF-Q9SL04-F1
P07270	1A0A
Q9UTK0	AF-Q9UTK0-F1
P91928	AF-P91928-F1
K7WCC7	AF-K7WCC7-F1
P24462	7MK8
Q9UBV4	AF-Q9UBV4-F1
Q80WT2	AF-Q80WT2-F1
Q9C7F5	AF-Q9C7F5-F1
Q9Y2U9	6DO3
P9WGN3	AF-P9WGN3-F1
O88735	AF-O88735-F1
O74325	AF-O74325-F1
Q02353	AF-Q02353-F1
Q8RU74	AF-Q8RU74-F1
Q12275	AF-Q12275-F1
Q9UHN6	8C6I
Q9IK91	4CO6
O60645	AF-O60645-F1
B2RQL2	AF-B2RQL2-F1
Q9BSW7	2ENP
P79065	AF-P79065-F1
P36407	AF-P36407-F1
Q86XK7	AF-Q86XK7-F1
Q9FYR7	AF-Q9FYR7-F1
Q9SJ56	AF-Q9SJ56-F1
Q54GH3	AF-Q54GH3-F1
Q9NQZ2	7MQ8
Q8IWU4	6XPD
P63268	AF-P63268-F1
O43741	2F15
C3W7B0	AF-C3W7B0-F1
F4HVZ5	AF-F4HVZ5-F1
F4I7L1	AF-F4I7L1-F1
Q13620	2DO7
P30836	AF-P30836-F1
Q6RSH7	AF-Q6RSH7-F1
Q9JKU3	AF-Q9JKU3-F1
Q9ESW0	AF-Q9ESW0-F1
Q6ZMU5	3KB5
P25808	7NAC
Q12119	AF-Q12119-F1
Q6NLB0	AF-Q6NLB0-F1
P57102	AF-P57102-F1
P53256	4IFD
Q3UM45	AF-Q3UM45-F1
Q02388	UnFound
Q8L8W0	AF-Q8L8W0-F1
Q70SU8	AF-Q70SU8-F1
Q8JGN5	AF-Q8JGN5-F1
P80473	UnFound
Q9H0V1	AF-Q9H0V1-F1
A8JUV0	AF-A8JUV0-F1
Q9HGM8	AF-Q9HGM8-F1
Q9ZVJ4	AF-Q9ZVJ4-F1
Q09530	AF-Q09530-F1
Q07021	1P32
Q6AXL4	AF-Q6AXL4-F1
Q9H9J4	AF-Q9H9J4-F1
Q4LBB9	AF-Q4LBB9-F1
Q9NWV4	5ZLQ
Q96MP8	AF-Q96MP8-F1
Q9VFL5	AF-Q9VFL5-F1
Q9VHD3	AF-Q9VHD3-F1
P31230	AF-P31230-F1
P42445	AF-P42445-F1
P39944	AF-P39944-F1
O08842	AF-O08842-F1
Q8MQU6	AF-Q8MQU6-F1
D3ZQF9	AF-D3ZQF9-F1
Q8NGC4	AF-Q8NGC4-F1
P47161	AF-P47161-F1
O14356	AF-O14356-F1
Q8IWN7	AF-Q8IWN7-F1
Q6NWY9	AF-Q6NWY9-F1
Q9Z301	AF-Q9Z301-F1
P47466	AF-P47466-F1
Q5T8I9	4XCX
Q3UWZ0	7UG2
P85498	AF-P85498-F1
P38144	2Y9Y
Q14671	1IB2
Q7TQK0	AF-Q7TQK0-F1
Q6L8G9	AF-Q6L8G9-F1
Q5VT99	AF-Q5VT99-F1
Q8TFH2	AF-Q8TFH2-F1
P59054	AF-P59054-F1
A3KMH1	AF-A3KMH1-F1
Q6ZNG1	AF-Q6ZNG1-F1
Q9Y0C9	AF-Q9Y0C9-F1
O75751	7ZH0
Q9C0B5	AF-Q9C0B5-F1
P0A7Y0	7R97
Q6YFQ2	AF-Q6YFQ2-F1
Q9T0E0	AF-Q9T0E0-F1
P16303	AF-P16303-F1
Q3U5Q7	AF-Q3U5Q7-F1
Q9UL15	2D9D
P48434	AF-P48434-F1
Q9D312	AF-Q9D312-F1
Q9QYP2	AF-Q9QYP2-F1
Q9M352	AF-Q9M352-F1
Q12206	AF-Q12206-F1
Q5AAF4	AF-Q5AAF4-F1
Q9FL12	5IL9
P26686	AF-P26686-F1
B8YB59	2WAQ
O42839	AF-O42839-F1
P19650	AF-P19650-F1
Q7SXM7	AF-Q7SXM7-F1
Q96QT4	AF-Q96QT4-F1
P16792	UnFound
P17659	AF-P17659-F1
O60831	AF-O60831-F1
Q8BZH0	AF-Q8BZH0-F1
Q9NR61	5MVX
Q04641	2JW1
Q56A35	AF-Q56A35-F1
Q96EE3	5A9Q
Q9SB04	AF-Q9SB04-F1
Q9JJP9	1KJV
P17511	AF-P17511-F1
Q04736	2YT6
O53281	AF-O53281-F1
O15231	AF-O15231-F1
Q9LTT8	AF-Q9LTT8-F1
J7LH11	AF-J7LH11-F1
Q9NW97	AF-Q9NW97-F1
Q92383	3S6I
Q8NH93	AF-Q8NH93-F1
O54702	AF-O54702-F1
O89000	AF-O89000-F1
Q07813	2XA0
P32487	AF-P32487-F1
Q16570	4NUU
P36649	1KV7
Q5TJ56	AF-Q5TJ56-F1
Q9BY78	AF-Q9BY78-F1
P08183	6C0V
Q9USU5	AF-Q9USU5-F1
Q31125	AF-Q31125-F1
P53350	1Q4K
Q8N6P7	3DGC
Q6PDL0	AF-Q6PDL0-F1
Q04110	AF-Q04110-F1
Q05962	AF-Q05962-F1
P80803	UnFound
Q8TB72	3Q0Q
O59811	AF-O59811-F1
Q4Z8K6	AF-Q4Z8K6-F1
C0HK95	AF-C0HK95-F1
O43008	AF-O43008-F1
Q7Z4T8	AF-Q7Z4T8-F1
Q8BTT6	AF-Q8BTT6-F1
Q8QFR2	AF-Q8QFR2-F1
Q9D2N9	AF-Q9D2N9-F1
Q97R80	AF-Q97R80-F1
Q9C8D6	AF-Q9C8D6-F1
O94545	AF-O94545-F1
P46871	AF-P46871-F1
Q7M370	AF-Q7M370-F1
Q9ESH6	AF-Q9ESH6-F1
O48786	AF-O48786-F1
Q9LZD7	AF-Q9LZD7-F1
P13438	AF-P13438-F1
P0ACM2	AF-P0ACM2-F1
F4JTS8	UnFound
Q9BVC3	AF-Q9BVC3-F1
P69856	2WJQ
Q9S9K7	AF-Q9S9K7-F1
Q8TE77	AF-Q8TE77-F1
O62139	AF-O62139-F1
Q55GN6	AF-Q55GN6-F1
P28321	4ZWN
Q16695	2V1D
Q9UU85	AF-Q9UU85-F1
P01633	AF-P01633-F1
Q14982	5UV6
Q9NYV6	7OBA
O88778	UnFound
Q9C9R3	AF-Q9C9R3-F1
Q13705	2H62
P00352	4WB9
O43663	3NRX
Q9JJ09	AF-Q9JJ09-F1
Q9U281	AF-Q9U281-F1
B3EWQ2	AF-B3EWQ2-F1
P25109	AF-P25109-F1
Q9W3U1	AF-Q9W3U1-F1
Q41364	AF-Q41364-F1
P38992	AF-P38992-F1
Q4WI46	AF-Q4WI46-F1
Q5FWK6	AF-Q5FWK6-F1
Q93W32	AF-Q93W32-F1
O94590	AF-O94590-F1
P9WNX9	AF-P9WNX9-F1
P14881	AF-P14881-F1
P76397	AF-P76397-F1
Q5UKY4	AF-Q5UKY4-F1
A0MD28	UnFound
Q9C565	AF-Q9C565-F1
P82917	3JD5
Q8C753	AF-Q8C753-F1
P12124	AF-P12124-F1
P04800	AF-P04800-F1
P24502	AF-P24502-F1
Q8GW32	AF-Q8GW32-F1
Q8VCD6	AF-Q8VCD6-F1
Q9Y7K2	AF-Q9Y7K2-F1
Q38857	AF-Q38857-F1
Q96EL3	3J7Y
Q8AWF4	AF-Q8AWF4-F1
F4J3N2	AF-F4J3N2-F1
Q91619	AF-Q91619-F1
Q5D7H4	AF-Q5D7H4-F1
P69506	5FNN
Q9VYD1	AF-Q9VYD1-F1
Q9P6K1	AF-Q9P6K1-F1
O54879	AF-O54879-F1
O77760	AF-O77760-F1
Q61592	AF-Q61592-F1
P40376	AF-P40376-F1
Q7TXL6	AF-Q7TXL6-F1
P08240	2FH5
P9WLJ1	AF-P9WLJ1-F1
O88664	AF-O88664-F1
Q9FL63	AF-Q9FL63-F1
Q8BGG7	2H0Q
Q5TYW1	AF-Q5TYW1-F1
P0DJD8	AF-P0DJD8-F1
Q9UL41	AF-Q9UL41-F1
P38813	AF-P38813-F1
P84276	AF-P84276-F1
O67931	3HYV
Q03148	3FEM
Q64268	AF-Q64268-F1
Q9M1X4	AF-Q9M1X4-F1
A0A1D6N272	AF-A0A1D6N272-F1
Q60823	AF-Q60823-F1
Q86VU5	2AVD
G5ECB1	AF-G5ECB1-F1
F4J6F6	AF-F4J6F6-F1
Q9BQE3	AF-Q9BQE3-F1
D0VYS2	AF-D0VYS2-F1
Q9C6S4	AF-Q9C6S4-F1
Q9EQI8	AF-Q9EQI8-F1
O61307	8FIA
Q6T267	AF-Q6T267-F1
P06738	1YGP
Q803A8	AF-Q803A8-F1
Q9ES82	AF-Q9ES82-F1
P62517	AF-P62517-F1
P28023	2M02
Q9JJI6	AF-Q9JJI6-F1
B7SBD2	AF-B7SBD2-F1
P11088	AF-P11088-F1
Q9EQV6	AF-Q9EQV6-F1
Q12216	6U75
P0C8R3	AF-P0C8R3-F1
Q9M2Y8	AF-Q9M2Y8-F1
P48036	AF-P48036-F1
P08905	1IVM
P55926	AF-P55926-F1
A0PK11	AF-A0PK11-F1
A8DYY6	AF-A8DYY6-F1
Q9BX95	AF-Q9BX95-F1
Q058P4	AF-Q058P4-F1
Q6IPW1	AF-Q6IPW1-F1
Q2NNE0	AF-Q2NNE0-F1
O74739	AF-O74739-F1
P02470	3L1E
Q8VSJ7	AF-Q8VSJ7-F1
P22561	AF-P22561-F1
Q9NGQ2	AF-Q9NGQ2-F1
Q6DWJ6	7VUG
Q3TCJ1	AF-Q3TCJ1-F1
Q5XHZ2	AF-Q5XHZ2-F1
P0A8N0	4D8J
Q11183	AF-Q11183-F1
Q19705	AF-Q19705-F1
Q8WWG1	AF-Q8WWG1-F1
A4D1B5	AF-A4D1B5-F1
Q8LFJ6	7EU0
Q9WU34	AF-Q9WU34-F1
Q9LRR4	AF-Q9LRR4-F1
Q99NI3	AF-Q99NI3-F1
Q6NUM6	AF-Q6NUM6-F1
O96668	AF-O96668-F1
Q9UBX2	5Z2S
A7LXU0	5JOZ
Q16777	6Y5E
Q54I10	AF-Q54I10-F1
Q55BN0	AF-Q55BN0-F1
Q39199	AF-Q39199-F1
Q54TY7	AF-Q54TY7-F1
Q8C1F4	AF-Q8C1F4-F1
Q9M9U0	AF-Q9M9U0-F1
Q2G1M8	AF-Q2G1M8-F1
Q7XKU5	6KUN
Q6ZJK7	6KHN
A0A023FBW4	AF-A0A023FBW4-F1
D3ZGX1	AF-D3ZGX1-F1
Q10725	AF-Q10725-F1
P0A986	AF-P0A986-F1
Q58Y44	AF-Q58Y44-F1
Q5AMN3	AF-Q5AMN3-F1
Q5M7A7	6WSK
Q9H251	2KBR
Q96KR7	AF-Q96KR7-F1
P11170	AF-P11170-F1
O00462	AF-O00462-F1
Q9SYK4	AF-Q9SYK4-F1
Q8N998	AF-Q8N998-F1
Q24214	AF-Q24214-F1
Q9CZM2	6SWA
Q9LEW8	6OID
Q2TB90	AF-Q2TB90-F1
Q10422	AF-Q10422-F1
Q07350	4DGW
Q9Y536	AF-Q9Y536-F1
Q22720	AF-Q22720-F1
Q9SII9	AF-Q9SII9-F1
O43542	AF-O43542-F1
Q9S7T5	AF-Q9S7T5-F1
Q9VJ87	AF-Q9VJ87-F1
Q9JKS4	1WJL
P22079	AF-P22079-F1
P04296	1URJ
P36076	AF-P36076-F1
Q9D826	AF-Q9D826-F1
O88721	AF-O88721-F1
Q9LMA8	3OGK
Q53S33	2NCL
Q9FFE6	AF-Q9FFE6-F1
O60104	5N9J
Q6DD33	AF-Q6DD33-F1
Q6E2N3	AF-Q6E2N3-F1
Q9ZUN8	AF-Q9ZUN8-F1
Q9CZD5	2CRQ
P38217	AF-P38217-F1
O05797	AF-O05797-F1
Q8LG98	AF-Q8LG98-F1
Q9SJJ3	AF-Q9SJJ3-F1
P31943	2LXU
P13686	1WAR
P26432	AF-P26432-F1
P11071	6K5L
P62814	AF-P62814-F1
E5KIB6	AF-E5KIB6-F1
Q8WTV1	AF-Q8WTV1-F1
Q10290	AF-Q10290-F1
Q38Q39	AF-Q38Q39-F1
Q9SCW5	AF-Q9SCW5-F1
Q3TTY5	AF-Q3TTY5-F1
C8V329	AF-C8V329-F1
Q96EF9	AF-Q96EF9-F1
Q9FJV0	AF-Q9FJV0-F1
Q9C7G1	AF-Q9C7G1-F1
P07871	AF-P07871-F1
P0DV12	UnFound
P84712	UnFound
Q9USL2	AF-Q9USL2-F1
Q9LTF4	AF-Q9LTF4-F1
P07284	AF-P07284-F1
Q99247	AF-Q99247-F1
P00903	AF-P00903-F1
Q9UJX4	4UI9
P63013	AF-P63013-F1
P68467	UnFound
Q8LPR9	AF-Q8LPR9-F1
Q9LIL4	AF-Q9LIL4-F1
Q9BYW1	AF-Q9BYW1-F1
Q03017	AF-Q03017-F1
Q9H3M7	4GEI
Q8CFD0	AF-Q8CFD0-F1
Q8VZD5	AF-Q8VZD5-F1
Q2L6E3	AF-Q2L6E3-F1
Q0WQX7	AF-Q0WQX7-F1
A9D2P7	AF-A9D2P7-F1
Q9SHB5	AF-Q9SHB5-F1
P40547	6SWY
Q5W188	AF-Q5W188-F1
P22933	AF-P22933-F1
Q9D1H9	AF-Q9D1H9-F1
Q9ZUV3	AF-Q9ZUV3-F1
Q9R244	AF-Q9R244-F1
O07779	AF-O07779-F1
Q9R0Y1	AF-Q9R0Y1-F1
Q9BT88	AF-Q9BT88-F1
Q96AH8	AF-Q96AH8-F1
P21874	1W85
Q944H5	AF-Q944H5-F1
Q8BU31	AF-Q8BU31-F1
P00015	2AIU
P21453	3V2W
O00217	5XTB
P22288	1IS7
Q1G3U6	AF-Q1G3U6-F1
Q9LZX1	1ZXU
Q9FH94	AF-Q9FH94-F1
O14604	AF-O14604-F1
P84156	1OZZ
Q8NEF3	AF-Q8NEF3-F1
P22289	1EZV
P33934	AF-P33934-F1
P40998	AF-P40998-F1
P42519	AF-P42519-F1
Q6IP18	AF-Q6IP18-F1
Q8AV66	AF-Q8AV66-F1
O94258	3IBV
Q923V8	UnFound
Q7Z7E8	2QGX
Q8WTX7	5GS9
O64489	AF-O64489-F1
P18490	UnFound
Q8IYB7	8E27
O43760	AF-O43760-F1
Q9ZVU5	AF-Q9ZVU5-F1
O44516	AF-O44516-F1
P29524	AF-P29524-F1
Q8NFW1	AF-Q8NFW1-F1
O80669	AF-O80669-F1
Q6ETN3	AF-Q6ETN3-F1
O48946	AF-O48946-F1
P67244	AF-P67244-F1
Q4W4Z2	AF-Q4W4Z2-F1
Q6PJF5	AF-Q6PJF5-F1
Q96RU2	2LVA
A2RSQ0	AF-A2RSQ0-F1
P03207	UnFound
F5H8R6	UnFound
Q7Z7G2	AF-Q7Z7G2-F1
P47054	4IFQ
P27777	AF-P27777-F1
Q9AYP9	1ULK
P07283	AF-P07283-F1
Q9Y6X6	AF-Q9Y6X6-F1
Q0C8M1	AF-Q0C8M1-F1
P30021	UnFound
P53896	AF-P53896-F1
Q9FFD0	AF-Q9FFD0-F1
Q86V21	AF-Q86V21-F1
Q9WUK2	2DNG
A5YKK6	4C0D
P32480	AF-P32480-F1
P9WPC5	2C8T
Q06726	AF-Q06726-F1
Q6ZNC8	AF-Q6ZNC8-F1
A6NEQ0	AF-A6NEQ0-F1
Q8MLY8	4V6W
Q12126	AF-Q12126-F1
P15928	6SCN
Q589Y0	2XR7
A1YKT1	AF-A1YKT1-F1
Q5XJE5	AF-Q5XJE5-F1
Q17886	AF-Q17886-F1
Q11181	AF-Q11181-F1
P52756	2LK0
P48037	AF-P48037-F1
P97438	6CQ6
P15392	AF-P15392-F1
Q9C9W5	AF-Q9C9W5-F1
Q9FKZ2	AF-Q9FKZ2-F1
P45470	1OI4
